species_name,biogeog,taxon,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,endemism,IUCN,IUCN_category,date_assessed
Ecklonia radiata,cool (temperate),Macroalgae,Brown algae,44,200,13.66936,16.83632575,0.994669697,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Erythrymenia minuta,cool (temperate),Macroalgae,Red algae,20,14,13.37806,16.27237696,1.319178705,endemic,Not Evaluated,Not applicable,Not Evaluated
Euptilota articulata,cool (temperate),Macroalgae,Red algae,15,35,13.48773,16.11079089,1.161806952,endemic,Not Evaluated,Not applicable,Not Evaluated
Gigartina muelleriana,cool (temperate),Macroalgae,Red algae,2,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Haliptilon roseum,cool (temperate),Macroalgae,Red algae,10,12,13.52378,16.91199763,1.047406129,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Halopteris paniculata,cool (temperate),Macroalgae,Brown algae,13,30,11.26193,15.39920754,1.105541633,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Hemineura frondosa,cool (temperate),Macroalgae,Red algae,604,60,13.48773,15.19258089,1.241161604,endemic,Not Evaluated,Not applicable,Not Evaluated
Laurencia elata,cool (temperate),Macroalgae,Red algae,40,25,13.47772,16.41216205,1.16361743,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Lenormandia marginata,cool (temperate),Macroalgae,Red algae,25,25,13.46325,14.9196342,1.282372493,endemic,Not Evaluated,Not applicable,Not Evaluated
Lessonia corrugata,cool (temperate),Macroalgae,Brown algae,20,200,3.51499,14.23250985,1.586590637,endemic,Not Evaluated,Not applicable,Not Evaluated
Lobophora variegata,warm (temperate),Macroalgae,Brown algae,36,14,13.2046,17.64254813,1.11056186,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Mastophoropsis canaliculata,cool (temperate),Macroalgae,Red algae,18,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Melanthalia obtusata,cool (temperate),Macroalgae,Red algae,16,60,8.03422,15.0200403,1.294824245,endemic,Not Evaluated,Not applicable,Not Evaluated
Perithalia caudata,cool (temperate),Macroalgae,Brown algae,18,100,8.12983,14.95258734,1.262190944,endemic,Not Evaluated,Not applicable,Not Evaluated
Phacelocarpus peperocarpos,cool (temperate),Macroalgae,Red algae,30,50,13.48773,15.99757501,1.053838492,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllospora comosa,cool (temperate),Macroalgae,Brown algae,30,300,8.62831,15.5579159,1.329275211,endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium angustum,cool (temperate),Macroalgae,Red algae,50,25,12.88879,15.27813145,1.058201896,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium cartilagineum,cool (temperate),Macroalgae,Red algae,35,20,13.47772,16.49913627,1.095622345,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium dilatatum,cool (temperate),Macroalgae,Red algae,22,25,13.38001,14.95988704,1.178823406,endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium leptophyllum,cool (temperate),Macroalgae,Red algae,33,20,10.76584,15.24158165,1.281694332,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium patagiatum,cool (temperate),Macroalgae,Red algae,26,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Sargassum vestitum,cool (temperate),Macroalgae,Brown algae,100,150,8.26684,15.34622284,1.206489984,endemic,Not Evaluated,Not applicable,Not Evaluated
Stenogramma interruptum,cool (temperate),Macroalgae,Red algae,13,7,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Xiphophora chondrophylla,cool (temperate),Macroalgae,Brown algae,8,30,7.72807,15.41768175,1.272821108,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Xiphophora gladiata,cool (temperate),Macroalgae,Brown algae,18,100,4.17921,14.3466797,1.507420068,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Zonaria angustata,cool (temperate),Macroalgae,Brown algae,26,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Amphiroa anceps,warm (temperate),Macroalgae,Red algae,145,20,13.30104,17.87234076,1.036323745,endemic,Not Evaluated,Not applicable,Not Evaluated
Carpoglossum confluens,cool (temperate),Macroalgae,Brown algae,40,200,9.26557,14.72054221,1.312074953,endemic,Not Evaluated,Not applicable,Not Evaluated
Champia viridis,cool (temperate),Macroalgae,Red algae,15,15,13.51048,15.26726142,1.296159817,endemic,Not Evaluated,Not applicable,Not Evaluated
Echinothamnion hystrix,cool (temperate),Macroalgae,Red algae,24,35,13.21285,16.13285461,1.287046129,endemic,Not Evaluated,Not applicable,Not Evaluated
Sargassum fallax,cool (temperate),Macroalgae,Brown algae,100,100,13.29589,17.36373227,1.111468592,endemic,Not Evaluated,Not applicable,Not Evaluated
Sargassum sonderi,cool (temperate),Macroalgae,Brown algae,100,50,12.87241,15.47947899,1.173771612,endemic,Not Evaluated,Not applicable,Not Evaluated
Ulva rigida,cool (temperate),Macroalgae,Green algae,6,40,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa flexilis,cool (temperate),Macroalgae,Green algae,40,30,13.50747,16.71738934,1.062992136,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Chaetomorpha coliformis,cool (temperate),Macroalgae,Green algae,15,60,4.84364,14.2602005,2.112290244,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora moniliformis,cool (temperate),Macroalgae,Brown algae,132,400,12.79101,16.17238939,1.024067803,endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyomenia tridens,warm (temperate),Macroalgae,Red algae,30,40,13.23592,18.06388248,1.44924864,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllotricha verruculosa,cool (temperate),Macroalgae,Brown algae,16,50,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium mertensii,cool (temperate),Macroalgae,Red algae,50,50,13.41768,16.26064978,1.003052854,endemic,Not Evaluated,Not applicable,Not Evaluated
Pollexfenia lobata,cool (temperate),Macroalgae,Red algae,364,50,13.42928,15.1138199,1.349912479,endemic,Not Evaluated,Not applicable,Not Evaluated
Synarthrophyton patena,cool (temperate),Macroalgae,Red algae,36,1.5,13.49648,15.19640111,1.317725527,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Thamnoclonium dichotomum,cool (temperate),Macroalgae,Red algae,32,30,10.75409,14.84332613,1.247716085,endemic,Not Evaluated,Not applicable,Not Evaluated
Acrocarpia paniculata,cool (temperate),Macroalgae,Brown algae,42,150,11.24113,15.65207882,1.135511814,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa brownii,cool (temperate),Macroalgae,Green algae,42,40,13.38001,15.92543097,1.091758091,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Codium australicum,cool (temperate),Macroalgae,Green algae,33,50,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Zonaria spiralis,cool (temperate),Macroalgae,Brown algae,150,22,13.15565,16.90911409,0.877342347,endemic,Not Evaluated,Not applicable,Not Evaluated
Apjohnia laetevirens,cool (temperate),Macroalgae,Green algae,30,25,13.12197,16.108787,1.196968245,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllotricha decipiens,cool (temperate),Macroalgae,Brown algae,13,50,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Dilophus marginatus,cool (temperate),Macroalgae,Brown algae,8,12,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyopteris acrostichoides,cool (temperate),Macroalgae,Brown algae,3,55,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Pachydictyon paniculatum,warm (temperate),Macroalgae,Brown algae,11,35,13.12797,18.61142293,1.114901239,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora monilifera,cool (temperate),Macroalgae,Brown algae,132,100,10.87269,16.29072915,1.127777888,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa cactoides,cool (temperate),Macroalgae,Green algae,38,40,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Asparagopsis armata,cool (temperate),Macroalgae,Red algae,10,25,13.40452,17.66461931,1.128384008,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora expansa,cool (temperate),Macroalgae,Brown algae,4,60,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora retroflexa,cool (temperate),Macroalgae,Brown algae,132,200,9.74736,15.61892383,1.168054433,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa geminata,cool (temperate),Macroalgae,Green algae,25,15,13.40452,17.0737792,1.217556495,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa scalpelliformis,cool (temperate),Macroalgae,Green algae,36,20,13.23913,16.83543145,1.104766591,endemic,Not Evaluated,Not applicable,Not Evaluated
Plocamium preissianum,warm (temperate),Macroalgae,Red algae,50,50,13.26499,18.16388975,1.051457369,endemic,Not Evaluated,Not applicable,Not Evaluated
Solieria robusta,cool (temperate),Macroalgae,Red algae,5,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyopteris australis,cool (temperate),Macroalgae,Brown algae,37,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Lobospira bicuspidata,warm (temperate),Macroalgae,Brown algae,13,25,13.1917,18.27269276,0.900681584,endemic,Not Evaluated,Not applicable,Not Evaluated
Pterocladia lucida,cool (temperate),Macroalgae,Red algae,24,40,13.17828,17.73253099,1.179464915,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Asparagopsis taxiformis,warm (temperate),Macroalgae,Red algae,19,30,4.14154,20.99037304,1.095253462,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Betaphycus speciosum,cool (temperate),Macroalgae,Red algae,15,50,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Botryocladia sonderi,warm (temperate),Macroalgae,Red algae,10,20,12.93267,19.34340617,1.311867577,endemic,Not Evaluated,Not applicable,Not Evaluated
Callophycus dorsifer,cool (temperate),Macroalgae,Red algae,8,25,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Callophycus harveyanus,cool (temperate),Macroalgae,Red algae,14,40,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Callophycus oppositifolius,cool (temperate),Macroalgae,Red algae,38,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa simpliciuscula,cool (temperate),Macroalgae,Green algae,38,30,13.40452,16.5537771,1.121340065,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulocystis uvifera,cool (temperate),Macroalgae,Brown algae,14,60,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Claviclonium ovatum,cool (temperate),Macroalgae,Red algae,14,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Curdiea irvineae,cool (temperate),Macroalgae,Red algae,14,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Dichotomaria obtusata,tropical,Macroalgae,Red algae,20,14,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Gloiosaccion brownii,cool (temperate),Macroalgae,Red algae,20,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Halimeda cuneata,tropical,Macroalgae,Green algae,7,15,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Haloplegma preissii,warm (temperate),Macroalgae,Red algae,35,20,13.28774,18.93841569,0.942830254,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Hennedya crispa,cool (temperate),Macroalgae,Red algae,22,20,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Hydroclathrus clathratus,tropical,Macroalgae,Brown algae,33,35,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Hypnea ramentacea,warm (temperate),Macroalgae,Red algae,25,25,13.30104,18.06957188,1.290748784,endemic,Not Evaluated,Not applicable,Not Evaluated
Kuetzingia canaliculata,cool (temperate),Macroalgae,Red algae,12,50,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Metagoniolithon radiatum,cool (temperate),Macroalgae,Red algae,32,15,13.28879,17.44990929,1.041001665,endemic,Not Evaluated,Not applicable,Not Evaluated
Metagoniolithon stelliferum,cool (temperate),Macroalgae,Red algae,22,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Metamastophora flabellata,warm (temperate),Macroalgae,Red algae,48,23,13.4797,18.5689212,1.113205752,endemic,Not Evaluated,Not applicable,Not Evaluated
Myriodesma quercifolium,cool (temperate),Macroalgae,Brown algae,48,50,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Myriodesma serrulatum,warm (temperate),Macroalgae,Brown algae,5,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Neurymenia fraxinifolia,tropical,Macroalgae,Red algae,10,9,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Osmundaria spiralis,cool (temperate),Macroalgae,Red algae,25,25,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Sargassopsis heteromorphum,cool (temperate),Macroalgae,Brown algae,30,45,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Thuretia quercifolia,cool (temperate),Macroalgae,Red algae,20,25,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa obscura,warm (temperate),Macroalgae,Green algae,35,30,13.1886,18.28389152,0.929853189,endemic,Not Evaluated,Not applicable,Not Evaluated
Colpomenia peregrina,cool (temperate),Macroalgae,Brown algae,6,25,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Curdiea obesa,cool (temperate),Macroalgae,Red algae,20,15,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Halymenia floresia,tropical,Macroalgae,Red algae,14,45,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Kallymenia cribrosa,warm (temperate),Macroalgae,Red algae,40,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Laurencia brongniartii,tropical,Macroalgae,Red algae,12,5,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa longifolia,cool (temperate),Macroalgae,Green algae,40,30,13.40452,16.73703072,1.228240227,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulocystis cephalornithos,cool (temperate),Macroalgae,Brown algae,7,100,13.11246,15.68577018,1.266661804,endemic,Not Evaluated,Not applicable,Not Evaluated
Codium pomoides,cool (temperate),Macroalgae,Green algae,20,12,13.45011,15.15133721,1.176374327,endemic,Not Evaluated,Not applicable,Not Evaluated
Phyllotricha varians,cool (temperate),Macroalgae,Brown algae,38,50,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Macrocystis pyrifera,cool (temperate),Macroalgae,Brown algae,28,3500,12.92248,14.65460303,1.285023478,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Areschougia congesta,cool (temperate),Macroalgae,Red algae,20,40,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora subfarcinata,cool (temperate),Macroalgae,Brown algae,132,200,11.15667,15.89001695,0.832979228,endemic,Not Evaluated,Not applicable,Not Evaluated
Melanthalia concinna,cool (temperate),Macroalgae,Red algae,40,30,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Seirococcus axillaris,cool (temperate),Macroalgae,Brown algae,12,200,8.99357,15.49215136,1.224543452,endemic,Not Evaluated,Not applicable,Not Evaluated
Dictyomenia harveyana,cool (temperate),Macroalgae,Red algae,28,40,9.59669,15.08777551,1.492531795,endemic,Not Evaluated,Not applicable,Not Evaluated
Caulerpa trifaria,cool (temperate),Macroalgae,Green algae,31,25,8.98842,14.94615037,1.342018039,endemic,Not Evaluated,Not applicable,Not Evaluated
Cystophora retorta,cool (temperate),Macroalgae,Brown algae,132,120,10.00214,16.62594345,0.879698985,endemic,Not Evaluated,Not applicable,Not Evaluated
Stylophora pistillata,tropical,Invertebrate,Anthozoa,70,15,21.80506,26.31978353,0.384787317,endemic,Near Threatened,Not applicable,3/01/2008
Porites lichen,tropical,Invertebrate,Anthozoa,30,2,21.48287,26.34488678,0.330889058,non-endemic,Least Concern,Not applicable,3/01/2008
Pocillopora damicornis,tropical,Invertebrate,Anthozoa,60,35,21.79937,25.77577793,0.400393947,non-endemic,Least Concern,Not applicable,3/01/2008
Isopora cuneata,tropical,Invertebrate,Anthozoa,15,10,21.30939,23,0.261963684,non-endemic,Vulnerable,A4ce,3/01/2008
Abudefduf bengalensis,tropical,Vertebrate,Actinopterygii,6,17,24.04551,24.83612216,0.874819244,non-endemic,Least Concern,Not applicable,15/11/2010
Abudefduf sexfasciatus,tropical,Vertebrate,Actinopterygii,20,16,26.011,24.92301448,0.667717478,non-endemic,Least Concern,Not applicable,15/11/2010
Abudefduf vaigiensis,tropical,Vertebrate,Actinopterygii,15,20,26.27846,24.98613157,0.56839539,non-endemic,Least Concern,Not applicable,4/11/2013
Acanthaluteres brownii,warm (temperate),Vertebrate,Actinopterygii,25,55,3.91924,17.76303121,0.791090313,endemic,Least Concern,Not applicable,17/07/2017
Acanthaluteres spilomelanurus,cool (temperate),Vertebrate,Actinopterygii,10,14,12.85662,15.81073321,1.352432641,endemic,Least Concern,Not applicable,17/07/2017
Acanthaluteres vittiger,cool (temperate),Vertebrate,Actinopterygii,40,35,13.6473,16.82587979,1.062854436,endemic,Least Concern,Not applicable,17/07/2017
Acanthistius cinctus,warm (temperate),Vertebrate,Actinopterygii,30,50,8.56626,21.49939516,0.86260141,non-endemic,Least Concern,Not applicable,10/03/2015
Acanthistius ocellatus,warm (temperate),Vertebrate,Actinopterygii,100,64,8.71187,20.05014635,1.00341896,endemic,Least Concern,Not applicable,4/02/2009
Acanthopagrus australis,warm (temperate),Vertebrate,Actinopterygii,30,66,20.21972,20.33931772,1.156372669,endemic,Least Concern,Not applicable,4/12/2009
Acanthurus dussumieri,tropical,Vertebrate,Actinopterygii,131,54,25.02933,25.00528296,0.554617763,non-endemic,Least Concern,Not applicable,3/05/2010
Acanthurus grammoptilus,tropical,Vertebrate,Actinopterygii,91,35,20.32613,26.39862909,0.686046103,non-endemic,Least Concern,Not applicable,3/05/2010
Acanthurus nigrofuscus,tropical,Vertebrate,Actinopterygii,25,21,27.23678,25.71397187,0.523580637,non-endemic,Least Concern,Not applicable,4/05/2010
Acanthurus olivaceus,tropical,Vertebrate,Actinopterygii,46,35,26.3701,25.4450578,0.455379467,non-endemic,Least Concern,Not applicable,4/05/2010
Acanthurus triostegus,tropical,Vertebrate,Actinopterygii,90,27,22.0836,25.67225447,0.575933064,non-endemic,Least Concern,Not applicable,4/05/2010
Achoerodus gouldii,warm (temperate),Vertebrate,Actinopterygii,40,175,9.32362,17.93986678,0.615974306,endemic,Vulnerable,A2bd,12/03/2008
Achoerodus viridis,warm (temperate),Vertebrate,Actinopterygii,40,100,12.26949,19.67043001,1.213627648,endemic,Near Threatened,Not applicable,12/03/2008
Aetapcus maculatus,cool (temperate),Vertebrate,Actinopterygii,30,22,12.80641,16.35383651,0.977501564,endemic,Not Evaluated,Not applicable,Not Evaluated
Amblygobius phalaena,tropical,Vertebrate,Actinopterygii,20,15,24.04706,25.7223986,0.618952405,non-endemic,Least Concern,Not applicable,27/08/2020
Amphichaetodon howensis,warm (temperate),Vertebrate,Actinopterygii,150,20,7.12751,21.36110862,0.60002361,non-endemic,Least Concern,Not applicable,5/10/2009
Amphiprion mccullochi,warm (temperate),Vertebrate,Actinopterygii,12,45,2.34504,21.87669194,0.267200139,endemic,Vulnerable,B1ab(iii),1/08/2021
Anampses caeruleopunctatus,tropical,Vertebrate,Actinopterygii,30,42,27.23065,23.58581633,0.623575674,non-endemic,Least Concern,Not applicable,12/07/2008
Anampses elegans,warm (temperate),Vertebrate,Actinopterygii,30,30,4.84237,21.73996852,0.632948603,non-endemic,Least Concern,Not applicable,23/02/2009
Anampses femininus,warm (temperate),Vertebrate,Actinopterygii,30,24,18.0043,23.07026962,0.32856972,non-endemic,Least Concern,Not applicable,2/02/2009
Anampses geographicus,tropical,Vertebrate,Actinopterygii,25,31,25.13236,23.53148233,0.520288473,non-endemic,Least Concern,Not applicable,3/02/2009
Anampses meleagrides,tropical,Vertebrate,Actinopterygii,60,22,22.10165,25.48877099,0.446576335,non-endemic,Least Concern,Not applicable,3/02/2009
Anampses neoguinaicus,tropical,Vertebrate,Actinopterygii,25,20,25.37081,25.42496066,0.391656599,non-endemic,Least Concern,Not applicable,4/02/2009
Anoplocapros amygdaloides,warm (temperate),Vertebrate,Actinopterygii,100,39,5.48956,20.77012887,0.632003117,endemic,Least Concern,Not applicable,13/11/2019
Anoplocapros inermis,warm (temperate),Vertebrate,Actinopterygii,300,37,5.37546,20.13756292,1.20349197,endemic,Least Concern,Not applicable,13/11/2019
Anoplocapros lenticularis,warm (temperate),Vertebrate,Actinopterygii,40,33,8.18342,20.05885719,0.793707459,endemic,Least Concern,Not applicable,12/08/2019
Aploactisoma milesii,cool (temperate),Vertebrate,Actinopterygii,30,23,NA,NA,NA,endemic,Least Concern,Not applicable,24/03/2022
Aplodactylus arctidens,cool (temperate),Vertebrate,Actinopterygii,40,65,9.38224,15.30752457,1.21893825,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Aplodactylus etheridgii,warm (temperate),Vertebrate,Actinopterygii,20,45,2.78976,21.61599842,0.228423896,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Aplodactylus lophodon,warm (temperate),Vertebrate,Actinopterygii,10,45,13.3856,19.23956318,1.484189392,endemic,Not Evaluated,Not applicable,Not Evaluated
Aracana aurita,cool (temperate),Vertebrate,Actinopterygii,200,25,13.40263,15.5288927,1.221401504,endemic,Least Concern,Not applicable,12/08/2019
Aracana ornata,cool (temperate),Vertebrate,Actinopterygii,60,15,13.40263,15.5288927,1.221401504,endemic,Least Concern,Not applicable,13/11/2019
Arothron hispidus,tropical,Vertebrate,Actinopterygii,50,50,24.84688,24.2206861,0.937021603,non-endemic,Least Concern,Not applicable,10/06/2011
Arripis georgianus,warm (temperate),Vertebrate,Actinopterygii,30,41,8.97906,18.74850228,0.72642503,endemic,Not Evaluated,Not applicable,Not Evaluated
Arripis trutta,warm (temperate),Vertebrate,Actinopterygii,50,100,11.76601,17.70320521,1.495429796,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Aspasmogaster costata,warm (temperate),Vertebrate,Actinopterygii,20,5,4.56139,20.15804529,1.216907301,endemic,Not Evaluated,Not applicable,Not Evaluated
Aspidontus dussumieri,tropical,Vertebrate,Actinopterygii,20,12,NA,NA,NA,non-endemic,Least Concern,Not applicable,24/03/2009
Aspidontus taeniatus,tropical,Vertebrate,Actinopterygii,25,12,NA,NA,NA,non-endemic,Least Concern,Not applicable,24/03/2009
Atrosalarias holomelas,tropical,Vertebrate,Actinopterygii,20,10,20.00989,25.39339236,0.611743851,non-endemic,Least Concern,Not applicable,1/04/2012
Atypichthys latus,warm (temperate),Vertebrate,Actinopterygii,20,30,6.13714,21.60340874,0.543784702,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Atypichthys strigatus,warm (temperate),Vertebrate,Actinopterygii,30,25,26.35817,18.27745906,1.278020984,endemic,Not Evaluated,Not applicable,Not Evaluated
Aulostomus chinensis,tropical,Vertebrate,Actinopterygii,122,80,25.14967,25.14967871,0.495449616,non-endemic,Least Concern,Not applicable,27/11/2014
Austrolabrus maculatus,warm (temperate),Vertebrate,Actinopterygii,40,17,11.57546,19.41160955,0.711949362,endemic,Least Concern,Not applicable,25/03/2009
Bathytoshia brevicaudata,warm (temperate),Vertebrate,Chondrichthyes,480,430,13.11334,18.00091014,1.1481181,non-endemic,Least Concern,Not applicable,Not Evaluated
Bathytoshia lata,warm (temperate),Vertebrate,Chondrichthyes,440,400,NA,NA,NA,non-endemic,Vulnerable,A2d,4/08/2020
Bodianus axillaris,tropical,Vertebrate,Actinopterygii,100,20,21.80312,26.48461837,0.460081883,non-endemic,Least Concern,Not applicable,12/03/2008
Bodianus frenchii,warm (temperate),Vertebrate,Actinopterygii,82,49,7.13474,20.7703085,0.798297526,endemic,Near Threatened,Not applicable,12/04/2008
Bovichtus angustifrons,cool (temperate),Vertebrate,Actinopterygii,20,28,11.26193,15.32441142,1.174700142,endemic,Least Concern,Not applicable,Not Evaluated
Brachaelurus waddi,warm (temperate),Vertebrate,Chondrichthyes,140,122,6.32825,20.41230633,1.062906232,endemic,Least Concern,Not applicable,15/05/2015
Brachaluteres jacksonianus,warm (temperate),Vertebrate,Actinopterygii,25,10,11.51476,18.8037943,1.556168203,endemic,Least Concern,Not applicable,3/03/2015
Caesio caerulaurea,tropical,Vertebrate,Actinopterygii,50,35,25.24388,26.49839162,0.567609292,non-endemic,Least Concern,Not applicable,4/02/2009
Caesioperca lepidoptera,cool (temperate),Vertebrate,Actinopterygii,100,30,11.90999,15.39330981,1.46524274,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Caesioperca rasor,cool (temperate),Vertebrate,Actinopterygii,100,26,11.34294,15.48440229,1.061425345,endemic,Not Evaluated,Not applicable,Not Evaluated
Cantherhines dumerilii,tropical,Vertebrate,Actinopterygii,35,38,21.82924,24.0447065,0.330843319,non-endemic,Least Concern,Not applicable,2/03/2015
Cantherhines pardalis,tropical,Vertebrate,Actinopterygii,20,25,23.95266,25.09684168,0.498457717,non-endemic,Least Concern,Not applicable,2/03/2015
Canthigaster callisterna,warm (temperate),Vertebrate,Actinopterygii,250,23,13.05362,20.83170814,0.807684855,non-endemic,Least Concern,Not applicable,7/06/2011
Canthigaster valentini,tropical,Vertebrate,Actinopterygii,55,11,25.13643,25.49180858,0.496129263,non-endemic,Least Concern,Not applicable,8/06/2011
Carangoides orthogrammus,tropical,Vertebrate,Actinopterygii,75,75,25.1896,24.19287679,0.511312682,non-endemic,Least Concern,Not applicable,9/03/2015
Carcharhinus galapagensis,warm (temperate),Vertebrate,Chondrichthyes,370,286,2.69568,22.06721714,0.26352934,non-endemic,Least Concern,Not applicable,7/12/2018
Centropyge tibicen,tropical,Vertebrate,Actinopterygii,55,19,25.23432,24.01592795,0.582115339,non-endemic,Least Concern,Not applicable,9/10/2009
Cephalopholis miniata,tropical,Vertebrate,Actinopterygii,150,45,21.87612,25.22631024,0.544604081,non-endemic,Least Concern,Not applicable,12/11/2017
Cephaloscyllium laticeps,cool (temperate),Vertebrate,Chondrichthyes,60,150,9.26249,14.92873527,1.302968911,endemic,Least Concern,Not applicable,8/04/2015
Chaetodon assarius,warm (temperate),Vertebrate,Actinopterygii,40,13,10.24858,22.02822345,0.850862386,non-endemic,Least Concern,Not applicable,7/10/2009
Chaetodon aureofasciatus,tropical,Vertebrate,Actinopterygii,15,12.5,19.05894,26.00169738,0.730068745,non-endemic,Least Concern,Not applicable,7/10/2009
Chaetodon auriga,tropical,Vertebrate,Actinopterygii,35,23,25.15824,25.74003564,0.580855782,non-endemic,Least Concern,Not applicable,8/10/2009
Chaetodon citrinellus,tropical,Vertebrate,Actinopterygii,36,13,23.99554,25.86796884,0.517406334,non-endemic,Least Concern,Not applicable,8/10/2009
Chaetodon flavirostris,tropical,Vertebrate,Actinopterygii,20,20,25.06341,24.48881087,0.484250539,non-endemic,Least Concern,Not applicable,8/10/2009
Chaetodon guentheri,warm (temperate),Vertebrate,Actinopterygii,70,22,20.66707,21.07429375,0.929230029,endemic,Least Concern,Not applicable,7/10/2009
Chaetodon kleinii,tropical,Vertebrate,Actinopterygii,61,15,25.24553,25.88358213,0.501353901,non-endemic,Least Concern,Not applicable,7/10/2009
