species_name,biogeog,taxon,class,max_depth,max_length,lat_span_degrees,t_mean,chl_mean,endemism,IUCN,IUCN_category,date_assessed
Cabestana tabulata,cool (temperate),Invertebrate,Gastropoda,25,10,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Calcinus imperialis,warm (temperate),Invertebrate,Malacostraca,30,2,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Campanile symbolicum,warm (temperate),Invertebrate,Gastropoda,40,23,4.37834,20.86818877,0.557697546,endemic,Not Evaluated,Not applicable,Not Evaluated
Cenolia tasmaniae,cool (temperate),Invertebrate,Crinoidea,63,30,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Cenolia trichoptera,cool (temperate),Invertebrate,Crinoidea,70,46,14.68105,17.50395053,1.004472075,endemic,Not Evaluated,Not applicable,Not Evaluated
Centrostephanus rodgersii,warm (temperate),Invertebrate,Echinoidea,35,10,17.45408,19.15038803,1.032296558,endemic,Not Evaluated,Not applicable,Not Evaluated
Centrostephanus tenuispinus,warm (temperate),Invertebrate,Echinoidea,104,9,12.64441,19.81935674,0.677913932,endemic,Not Evaluated,Not applicable,Not Evaluated
Ceratosoma amoenum,warm (temperate),Invertebrate,Gastropoda,30,6,20.14648,18.68765174,1.269156286,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Ceratosoma brevicaudatum,cool (temperate),Invertebrate,Gastropoda,100,15,13.5501,17.03941603,1.188570571,endemic,Not Evaluated,Not applicable,Not Evaluated
Cerithium echinatum,tropical,Invertebrate,Gastropoda,30,8,19.91559,25.43938965,0.670030913,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Charonia lampas,warm (temperate),Invertebrate,Gastropoda,200,24,13.51048,18.20334735,1.081754589,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Chicoreus denudatus,warm (temperate),Invertebrate,Gastropoda,100,5,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Chromodoris westraliensis,warm (temperate),Invertebrate,Gastropoda,18,6,14.67714,21.18211955,0.807136939,endemic,Not Evaluated,Not applicable,Not Evaluated
Clanculus undatus,cool (temperate),Invertebrate,Gastropoda,20,4,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Comanthus wahlbergi,warm (temperate),Invertebrate,Crinoidea,103,8,2.788,21.68814321,0.228423896,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Conus anemone,cool (temperate),Invertebrate,Gastropoda,130,10.5,13.30104,16.83894273,1.129074457,endemic,Least Concern,Not applicable,26/10/2011
Coriocella nigra,warm (temperate),Invertebrate,Gastropoda,15,8,21.59443,23.10382485,0.366508335,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Coscinasterias muricata,cool (temperate),Invertebrate,Asteroidea,150,50,14.75154,17.25357908,1.123868965,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Cronia aurantiaca,tropical,Invertebrate,Gastropoda,10,4,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Dardanus crassimanus,tropical,Invertebrate,Malacostraca,30,15,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Dardanus lagopodes,tropical,Invertebrate,Malacostraca,120,6,22.75976,26.08507384,0.434108178,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Diadema savignyi,tropical,Invertebrate,Echinoidea,70,8,25.2478,23.21722081,0.573513516,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Dicathais orbita,warm (temperate),Invertebrate,Gastropoda,10,7.5,17.50018,17.68330427,0.980216026,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Doriprismatica atromarginata,warm (temperate),Invertebrate,Gastropoda,28,5,25.08342,21.54985636,1.041885286,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Doris chrysoderma,warm (temperate),Invertebrate,Gastropoda,30,5,11.01392,18.03189034,1.187396862,endemic,Not Evaluated,Not applicable,Not Evaluated
Drupella cornus,tropical,Invertebrate,Gastropoda,75,3.8,22.07445,25.23919125,0.644798104,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Echinaster arcystatus,cool (temperate),Invertebrate,Asteroidea,40,36,10.80763,16.62499256,0.853516616,endemic,Not Evaluated,Not applicable,Not Evaluated
Echinaster luzonicus,tropical,Invertebrate,Asteroidea,60,10,20.38618,26.00864145,0.620125265,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Echinometra mathaei,tropical,Invertebrate,Echinoidea,34,8.5,25.18546,25.37024979,0.485891581,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Echinostrephus aciculatus,tropical,Invertebrate,Echinoidea,50,2.2,23.84831,25.74889457,0.468853504,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Fromia indica,tropical,Invertebrate,Asteroidea,25,7,19.03606,26.14049813,0.581469197,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Fromia polypora,cool (temperate),Invertebrate,Asteroidea,30,22,25.16697,17.40798094,0.971878555,endemic,Not Evaluated,Not applicable,Not Evaluated
Fusinus australis,cool (temperate),Invertebrate,Gastropoda,40,13,13.1731,17.30337011,1.28041899,endemic,Not Evaluated,Not applicable,Not Evaluated
Goniobranchus splendidus,warm (temperate),Invertebrate,Gastropoda,25,4.9,12.76355,20.40165139,0.92978824,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Goniobranchus tasmaniensis,cool (temperate),Invertebrate,Gastropoda,60,7,10.59843,17.26955881,1.507680744,endemic,Not Evaluated,Not applicable,Not Evaluated
Goniobranchus tinctorius,warm (temperate),Invertebrate,Gastropoda,15,6,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Goniocidaris impressa,cool (temperate),Invertebrate,Echinoidea,630,6,NA,NA,NA,endemic,Not Evaluated,Not applicable,Not Evaluated
Goniocidaris tubaria,cool (temperate),Invertebrate,Echinoidea,630,6,13.58167,16.71908031,1.244217355,endemic,Not Evaluated,Not applicable,Not Evaluated
Guinusia chabrus,cool (temperate),Invertebrate,Malacostraca,8,7,NA,NA,NA,non-endemic,Not Evaluated,Not applicable,Not Evaluated
Haliotis laevigata,cool (temperate),Invertebrate,Gastropoda,40,23,10.79607,16.14728688,0.827952541,endemic,Vulnerable,A2bd,14/01/2021
Haliotis rubra,cool (temperate),Invertebrate,Gastropoda,40,22,13.25118,16.37861322,1.072298948,endemic,Vulnerable,A2ac,14/01/2021
