site_code,latitude,longitude
GSV47,-35.371190000000006,138.37876
GSV47,-35.37119,138.37876
GSV5,-35.53145,138.1519
GSV56,-35.75675,138.06533000000002
GSV57,-35.72388,137.98821999999998
GSV58,-35.71625,137.93896999999998
GSV59,-35.7215,137.98051999999998
GSV7,-35.3882,138.3492
GSV82,-35.7172,137.90473
GSV9,-35.40416,138.33043
GSV93,-35.26825,138.43202
GSV94,-35.519009999999994,138.18452
GSV94,-35.51901,138.18452
GSV95,-35.508379999999995,138.21873
GSV95,-35.50838,138.21873
GSV99,-35.519220000000004,138.17416
GSV99,-35.51922,138.17416
NCMP-S1,-33.52754,115.00908
NCMP-S6,-33.52868,115.00847
RI10,-31.986179999999997,115.557
RI10,-31.98618,115.557
RI16,-32.02567,115.58404
RI23,-31.97427,115.53757
SSG13,-34.12928,137.43752
WA42,-31.83948,115.74869
WA97,-33.5932,115.21145
WA98,-33.59486,115.24425
WA99,-33.59339,115.1967
BI-S2,-41.86954,148.31363000000002
BI-S3,-41.86864,148.30344
BI-S4,-41.88012,148.30983999999998
BR13,-37.81963,148.78596000000002
BR13,-37.81963,148.78596
CHMP-S3,-37.564,149.9179
JBMP10,-35.08513,150.69402
JBMP37,-35.1257,150.75189
JBMP46,-35.100390000000004,150.69521
JBMP46,-35.10039,150.69521
JMP-S39,-30.67822,115.106
KG-S11,-39.46125,147.31422
KG-S19,-39.473,146.64893
KG-S2,-39.46937,147.31013000000002
MIR-S1,-42.57658,148.06207
MIR-S10,-42.72014,148.01146
MIR-S11,-42.5623,148.06735
MIR-S12,-42.52398,147.96925
MIR-S13,-42.55305,147.94814
MIR-S14,-42.58359,147.91566
MIR-S16,-42.57373,148.08046000000002
MIR-S2,-42.6025,148.04628
MIR-S3,-42.59211,148.05035
MIR-S5,-42.62899,148.02431
MIR-S7,-42.58268,148.0546
MIR-S9,-42.66082,148.00697
NIN-S1,-43.28394,147.16666999999998
NIN-S2,-43.29383,147.14182
NIN-S4,-43.2877,147.17924
NIN-S5,-43.28693,147.18068
PPB23,-38.138459999999995,144.71302
PPB23,-38.13846,144.71302
PPB25,-38.170190000000005,144.72165
PPB25,-38.17019,144.72165
PPB28,-38.32786,144.741
PPB34,-38.14875,144.72336
PPB37,-38.13935,144.71455
PPB55,-38.35495,144.77223
PPH-S1,-38.3173,144.71725
PPH-S10,-38.29012,144.62258
PPH-S16,-38.28302,144.63433999999998
PPH-S16,-38.28302,144.63434
PPH-S3,-38.304120000000005,144.65585
PPH-S3,-38.30412,144.65585
PPH-S4,-38.30692,144.80102
PPH-S5,-38.27528,144.65549
PPH-S7,-38.28733,144.62
PPH-S8,-38.30425,144.65896
PPH-S9,-38.28637,144.62962
PPH19,-38.31745,144.71023
PS3,-32.68884,152.22218
PS5,-32.59919,152.32061000000002
PS7,-32.71333,152.15713
TAS29,-43.13768,147.96908
TI-S1,-43.05907,147.33253
TI-S2,-43.0534,147.3421
TI-S2,-43.05339813,147.3421021
TI-S4,-43.06273,147.35709
TI-S5,-43.0118,147.33106
TN-S6,-40.84848,147.59433
TN-S8,-40.81948,147.67032
TNE-S2,-42.29332,148.28851
BI-S1,-41.87447,148.31433
BI-S5,-41.903290000000005,148.31631000000002
BMP-S15,-35.83132,150.23346999999998
BMP-S25,-36.01291,150.16603
BMP22,-36.24482,150.22451
BMP27,-35.74794,150.26006
BMP31,-36.26133,150.1492
BR11,-37.81828,148.7838
BR3,-37.81905,148.78351
BR7,-37.82491,148.79058
BUN-S1,-38.68034,145.60963
BUN-S2,-38.67736,145.61695
BUN-S3,-38.67694,145.64699
BUN-S4,-38.67894,145.6542
BUN-S5,-38.67667,145.65868999999998
BUN-S6,-38.67177,145.66459
BUN-S7,-38.66429,145.68311
BUN-S8,-38.65498,145.69513
CHMP-S1,-37.50853,149.9761
CHMP-S4,-37.5532,149.912
GSV12,-35.61029,138.5929
GSV134,-34.44449,138.19702
GSV14,-35.64094,138.52662
GSV15,-35.61781,138.55721
GSV17,-35.58887,138.60553000000002
GSV17,-35.58887,138.60553
JBMP-S1,-35.12097,150.70789
JBMP-S10,-35.078790000000005,150.77982
JBMP-S10,-35.07879,150.77982
JBMP-S11,-35.090579999999996,150.69409
JBMP-S11,-35.09058,150.69409
JBMP-S12,-35.074690000000004,150.77344
JBMP-S12,-35.07469,150.77344
JBMP-S13,-35.02708,150.77568
JBMP-S14,-35.0162,150.76486
JBMP-S15,-35.11272,150.7672
JBMP-S17,-35.12393,150.75235
JBMP-S18,-35.13438,150.72665
JBMP-S19,-35.00885,150.73106
JBMP-S2,-35.08142,150.79731999999998
JBMP-S2,-35.08142,150.79732
JBMP-S20,-35.04315,150.67924
JBMP-S21,-35.0355,150.67966
JBMP-S24,-35.01242,150.71651
JBMP-S25,-35.07227,150.69913
JBMP-S27,-35.08182,150.77778999999998
JBMP-S3,-35.07993,150.793
JBMP-S4,-35.07768,150.79224
JBMP-S5,-35.0661,150.77299
JBMP-S6,-35.05942,150.77499
JBMP-S7,-35.05592,150.77559
JBMP-S8,-35.07022,150.69838
JBMP-S9,-35.09912,150.69589
JBMP22,-35.07172,150.69007
JBMP34,-35.134879999999995,150.74251
JBMP34,-35.13488,150.74251
JBMP43,-35.11295,150.76568999999998
JBMP43,-35.11295,150.76569
JMP-S17,-30.75572,115.16497
JMP-S23,-30.48513,115.02998
JMP-S26,-30.68143,115.09548
JMP-S3,-30.42142,115.00193
JMP-S32,-30.41333,114.98167
JMP-S36,-30.3461,115.03757
