site_code,latitude,longitude
GBR80,-10.79166,142.97184
GBR81,-10.79462,142.97097
GBR93,-12.29665,143.41701
NI1,-29.07193,167.96139
NI6,-29.01054,167.91783999999998
NI6,-29.01054,167.91784
NI7,-29.117309999999996,167.94171
NI7,-29.11731,167.94171
NI8,-29.11641,167.96309
NT21,-10.32567,132.70608
NT30,-11.29259,133.79926
NWS1,-12.79823,124.26815
NWS1,-12.79823017,124.2681503
NWS101,-17.35516,119.38393
NWS11,-11.98059,123.33523
NWS12,-11.97626,123.33757
NWS13,-11.9834,123.3271
NWS14,-12.217,123.00392
NWS15,-12.2159,123.00575
NWS16,-12.23963,122.98389
NWS17,-12.24179,122.99063
NWS18,-12.24122,122.98493
NWS181,-12.18941,123.07672
NWS182,-12.17455,123.05939
NWS20,-12.24414,123.00182
NWS21,-12.24405,122.99881
NWS25,-12.23989,122.98643
NWS3,-11.9719,123.3878
NWS33,-14.05597,121.95847
NWS34,-14.06257,121.9653
NWS35,-14.0717,121.95083
NWS37,-14.0453,121.78072
NWS4,-11.969,123.3794
NWS55,-17.56991,118.97193
NWS56,-17.6102,118.9747
NWS6,-11.97448,123.38116
NWS61,-17.5582,118.9724
NWS63,-17.50218,118.96276
NWS64,-17.56045,118.94214
NWS69,-17.0658,119.6494
NWS79,-17.0721,119.6533
NWS8,-11.97908,123.36079
NWS80,-17.08181,119.65518
NWS83,-17.24607,119.35201
NWS86,-17.2909,119.35929
NWS88,-17.288,119.3775
NWS91,-17.28312,119.37301
NWS95,-17.31065,119.3675
NWS98,-17.30694,119.37064
OS2,-9.88038,129.2863
OS2,-9.880379677,129.2863007
OS4,-9.88453,129.41618
TS12,-10.06687,143.86969
TS14,-10.0599,143.88299999999998
TS14,-10.0599,143.883
WA47,-28.85354,114.01087
WA48,-28.85305,114.0132
WA53,-28.476340000000004,113.77235
WA53,-28.47634,113.77235
